,source,target,weight
0,笑顔,花,0.66875
1,笑顔,粉雪,0.05
2,笑顔,羽毛,0.21875
3,笑顔,蝶,0.3875
4,笑顔,踊り子,0.3875
5,笑顔,笑う,0.95
6,笑顔,明るい,0.95
7,笑顔,嬉しい,0.89375
8,笑顔,美しい,0.725
9,笑顔,可愛い,0.8374999999999999
10,笑顔,表情,0.89375
11,笑顔,癒し,0.78125
12,笑顔,子供,0.8374999999999999
13,笑顔,咲く,0.7249999999999999
14,笑顔,きれい,0.78125
15,笑顔,鮮やか,0.5562499999999999
16,笑顔,枯れる,0.3875
17,笑顔,植物,0.33125000000000004
18,笑顔,成長,0.3875
19,笑顔,水,0.10625
20,笑顔,やわらかい,0.725
21,笑顔,冷たい,0.38749999999999996
22,笑顔,降る,0.10625
23,笑顔,融ける,0.275
24,笑顔,白い,0.275
25,笑顔,寒い,0.16250000000000003
26,笑顔,灰色,0.05
27,笑顔,あたたかい,0.8374999999999999
28,笑顔,鳥,0.16250000000000003
29,笑顔,布団,0.05
30,笑顔,ふわふわ,0.3875
31,笑顔,羽,0.3875
32,笑顔,軽い,0.33125
33,笑顔,舞う,0.33125000000000004
34,笑顔,飛ぶ,0.05
35,笑顔,女性,0.725
36,笑顔,空,0.21875000000000003
37,笑顔,美しさ,0.78125
38,笑顔,儚さ,0.275
39,笑顔,踊り,0.55625
40,笑顔,スカート,0.10625
41,笑顔,夜,0.05
42,笑顔,音楽,0.33125000000000004
43,笑顔,回る,0.10625000000000001
44,笑顔,揺れる,0.275
45,笑顔,舞台,0.275
46,花,笑顔,0.66875
47,花,粉雪,0.10625
48,花,羽毛,0.21875000000000003
49,花,蝶,0.78125
50,花,踊り子,0.44375
51,花,笑う,0.55625
52,花,明るい,0.8374999999999999
53,花,嬉しい,0.5
54,花,美しい,0.8374999999999999
55,花,可愛い,0.78125
56,花,表情,0.44375000000000003
57,花,癒し,0.8375
58,花,子供,0.55625
59,花,咲く,0.95
60,花,きれい,0.8374999999999999
61,花,鮮やか,0.78125
62,花,枯れる,0.95
63,花,植物,0.89375
64,花,成長,0.78125
65,花,水,0.55625
66,花,やわらかい,0.725
67,花,冷たい,0.05
68,花,降る,0.21875
69,花,融ける,0.05
70,花,白い,0.6125
71,花,寒い,0.10625
72,花,灰色,0.05
73,花,あたたかい,0.5
74,花,鳥,0.5
75,花,布団,0.05
76,花,ふわふわ,0.44375
77,花,羽,0.38750000000000007
78,花,軽い,0.5
79,花,舞う,0.5562499999999999
80,花,飛ぶ,0.21875
81,花,女性,0.725
82,花,空,0.44375
83,花,美しさ,0.89375
84,花,儚さ,0.725
85,花,踊り,0.44375
86,花,スカート,0.33125
87,花,夜,0.21875000000000003
88,花,音楽,0.275
89,花,回る,0.21875000000000003
90,花,揺れる,0.33125
91,花,舞台,0.275
92,粉雪,笑顔,0.275
93,粉雪,花,0.1625
94,粉雪,羽毛,0.6125
95,粉雪,蝶,0.10625
96,粉雪,踊り子,0.33125000000000004
97,粉雪,笑う,0.21875
98,粉雪,明るい,0.275
99,粉雪,嬉しい,0.21875
100,粉雪,美しい,0.66875
101,粉雪,可愛い,0.275
102,粉雪,表情,0.05
103,粉雪,癒し,0.275
104,粉雪,子供,0.33125000000000004
105,粉雪,咲く,0.10625000000000001
106,粉雪,きれい,0.78125
107,粉雪,鮮やか,0.21875000000000003
108,粉雪,枯れる,0.275
109,粉雪,植物,0.10625
110,粉雪,成長,0.10625
111,粉雪,水,0.44375000000000003
112,粉雪,やわらかい,0.89375
113,粉雪,冷たい,0.95
114,粉雪,降る,0.95
115,粉雪,融ける,0.66875
116,粉雪,白い,0.95
117,粉雪,寒い,0.95
118,粉雪,灰色,0.5
119,粉雪,あたたかい,0.10625000000000001
120,粉雪,鳥,0.1625
121,粉雪,布団,0.21875000000000003
122,粉雪,ふわふわ,0.89375
123,粉雪,羽,0.275
124,粉雪,軽い,0.8374999999999999
125,粉雪,舞う,0.89375
126,粉雪,飛ぶ,0.33125000000000004
127,粉雪,女性,0.16250000000000003
128,粉雪,空,0.89375
129,粉雪,美しさ,0.725
130,粉雪,儚さ,0.6125
131,粉雪,踊り,0.275
132,粉雪,スカート,0.05
133,粉雪,夜,0.38749999999999996
134,粉雪,音楽,0.3875
135,粉雪,回る,0.3875
136,粉雪,揺れる,0.275
137,粉雪,舞台,0.10625
138,羽毛,笑顔,0.33125000000000004
139,羽毛,花,0.10625
140,羽毛,粉雪,0.44375
141,羽毛,蝶,0.16250000000000003
142,羽毛,踊り子,0.21875000000000003
143,羽毛,笑う,0.21875
144,羽毛,明るい,0.33125000000000004
145,羽毛,嬉しい,0.275
146,羽毛,美しい,0.44375
147,羽毛,可愛い,0.33125000000000004
148,羽毛,表情,0.05
149,羽毛,癒し,0.725
150,羽毛,子供,0.38749999999999996
151,羽毛,咲く,0.05
152,羽毛,きれい,0.44375
153,羽毛,鮮やか,0.16250000000000003
154,羽毛,枯れる,0.05
155,羽毛,植物,0.05
156,羽毛,成長,0.10625000000000001
157,羽毛,水,0.05
158,羽毛,やわらかい,0.89375
159,羽毛,冷たい,0.05
160,羽毛,降る,0.275
161,羽毛,融ける,0.1625
162,羽毛,白い,0.89375
163,羽毛,寒い,0.275
164,羽毛,灰色,0.33125
165,羽毛,あたたかい,0.95
166,羽毛,鳥,0.8374999999999999
167,羽毛,布団,0.89375
168,羽毛,ふわふわ,0.95
169,羽毛,羽,0.95
170,羽毛,軽い,0.89375
171,羽毛,舞う,0.6125
172,羽毛,飛ぶ,0.6125
173,羽毛,女性,0.3875
174,羽毛,空,0.44375
175,羽毛,美しさ,0.3875
176,羽毛,儚さ,0.33125000000000004
177,羽毛,踊り,0.3875
178,羽毛,スカート,0.1625
179,羽毛,夜,0.10625
180,羽毛,音楽,0.10625
181,羽毛,回る,0.33125000000000004
182,羽毛,揺れる,0.3875
183,羽毛,舞台,0.10625
184,蝶,笑顔,0.38750000000000007
185,蝶,花,0.89375
186,蝶,粉雪,0.21875000000000003
187,蝶,羽毛,0.275
188,蝶,踊り子,0.66875
189,蝶,笑う,0.5
190,蝶,明るい,0.725
191,蝶,嬉しい,0.275
192,蝶,美しい,0.89375
193,蝶,可愛い,0.78125
194,蝶,表情,0.21875000000000003
195,蝶,癒し,0.6125
196,蝶,子供,0.44375
197,蝶,咲く,0.44375
198,蝶,きれい,0.89375
199,蝶,鮮やか,0.78125
200,蝶,枯れる,0.16250000000000003
201,蝶,植物,0.5
202,蝶,成長,0.725
203,蝶,水,0.10625
204,蝶,やわらかい,0.55625
205,蝶,冷たい,0.16250000000000003
206,蝶,降る,0.05
207,蝶,融ける,0.05
208,蝶,白い,0.33125000000000004
209,蝶,寒い,0.10625
210,蝶,灰色,0.21875000000000003
211,蝶,あたたかい,0.33125
212,蝶,鳥,0.5
213,蝶,布団,0.05
214,蝶,ふわふわ,0.55625
215,蝶,羽,0.89375
216,蝶,軽い,0.78125
217,蝶,舞う,0.89375
218,蝶,飛ぶ,0.95
219,蝶,女性,0.78125
220,蝶,空,0.6687500000000001
221,蝶,美しさ,0.78125
222,蝶,儚さ,0.66875
223,蝶,踊り,0.55625
224,蝶,スカート,0.38749999999999996
225,蝶,夜,0.33125000000000004
226,蝶,音楽,0.44375
227,蝶,回る,0.33125
228,蝶,揺れる,0.38749999999999996
229,蝶,舞台,0.44375000000000003
230,踊り子,笑顔,0.5
231,踊り子,花,0.725
232,踊り子,粉雪,0.275
233,踊り子,羽毛,0.33125000000000004
234,踊り子,蝶,0.725
235,踊り子,笑う,0.55625
236,踊り子,明るい,0.6125
237,踊り子,嬉しい,0.3875
238,踊り子,美しい,0.78125
239,踊り子,可愛い,0.66875
240,踊り子,表情,0.44375
241,踊り子,癒し,0.5
242,踊り子,子供,0.16250000000000003
243,踊り子,咲く,0.5
244,踊り子,きれい,0.725
245,踊り子,鮮やか,0.44375
246,踊り子,枯れる,0.10625
247,踊り子,植物,0.21875000000000003
248,踊り子,成長,0.5
249,踊り子,水,0.05
250,踊り子,やわらかい,0.3875
251,踊り子,冷たい,0.1625
252,踊り子,降る,0.16250000000000003
253,踊り子,融ける,0.05
254,踊り子,白い,0.275
255,踊り子,寒い,0.10625
256,踊り子,灰色,0.05
257,踊り子,あたたかい,0.21875
258,踊り子,鳥,0.3875
259,踊り子,布団,0.05
260,踊り子,ふわふわ,0.275
261,踊り子,羽,0.38750000000000007
262,踊り子,軽い,0.5
263,踊り子,舞う,0.8374999999999999
264,踊り子,飛ぶ,0.44375
265,踊り子,女性,0.8374999999999999
266,踊り子,空,0.21875
267,踊り子,美しさ,0.95
268,踊り子,儚さ,0.5
269,踊り子,踊り,0.95
270,踊り子,スカート,0.78125
271,踊り子,夜,0.5
272,踊り子,音楽,0.8374999999999999
273,踊り子,回る,0.78125
274,踊り子,揺れる,0.66875
275,踊り子,舞台,0.89375
276,笑う,笑顔,0.95
277,笑う,花,0.5
278,笑う,粉雪,0.21875
279,笑う,羽毛,0.1625
280,笑う,蝶,0.275
281,笑う,踊り子,0.5
282,笑う,明るい,0.89375
283,笑う,嬉しい,0.8374999999999999
284,笑う,美しい,0.55625
285,笑う,可愛い,0.8374999999999999
286,笑う,表情,0.8374999999999999
287,笑う,癒し,0.66875
288,笑う,子供,0.89375
289,笑う,咲く,0.66875
290,笑う,きれい,0.55625
291,笑う,鮮やか,0.38750000000000007
292,笑う,枯れる,0.05
293,笑う,植物,0.10625
294,笑う,成長,0.33125000000000004
295,笑う,水,0.05
296,笑う,やわらかい,0.6125
297,笑う,冷たい,0.275
298,笑う,降る,0.05
299,笑う,融ける,0.275
300,笑う,白い,0.3875
301,笑う,寒い,0.10625
302,笑う,灰色,0.05
303,笑う,あたたかい,0.725
304,笑う,鳥,0.21875000000000003
305,笑う,布団,0.10625000000000001
306,笑う,ふわふわ,0.44375
307,笑う,羽,0.1625
308,笑う,軽い,0.5
309,笑う,舞う,0.5
310,笑う,飛ぶ,0.1625
311,笑う,女性,0.78125
312,笑う,空,0.44375
313,笑う,美しさ,0.55625
314,笑う,儚さ,0.33125000000000004
315,笑う,踊り,0.5
316,笑う,スカート,0.10625
317,笑う,夜,0.10625000000000001
318,笑う,音楽,0.33125000000000004
319,笑う,回る,0.3875
320,笑う,揺れる,0.21875
321,笑う,舞台,0.1625
322,明るい,笑顔,0.8374999999999999
323,明るい,花,0.66875
324,明るい,粉雪,0.16250000000000003
325,明るい,羽毛,0.38750000000000007
326,明るい,蝶,0.38749999999999996
327,明るい,踊り子,0.33125000000000004
328,明るい,笑う,0.89375
329,明るい,嬉しい,0.725
330,明るい,美しい,0.55625
331,明るい,可愛い,0.6125
332,明るい,表情,0.725
333,明るい,癒し,0.55625
334,明るい,子供,0.8375
335,明るい,咲く,0.6125
336,明るい,きれい,0.66875
337,明るい,鮮やか,0.6687500000000001
338,明るい,枯れる,0.10625
339,明るい,植物,0.33125
340,明るい,成長,0.3875
341,明るい,水,0.16250000000000003
342,明るい,やわらかい,0.55625
343,明るい,冷たい,0.05
344,明るい,降る,0.21875000000000003
345,明るい,融ける,0.275
346,明るい,白い,0.725
347,明るい,寒い,0.1625
348,明るい,灰色,0.05
349,明るい,あたたかい,0.725
350,明るい,鳥,0.3875
351,明るい,布団,0.10625
352,明るい,ふわふわ,0.3875
353,明るい,羽,0.10625
354,明るい,軽い,0.5
355,明るい,舞う,0.44375
356,明るい,飛ぶ,0.21875
357,明るい,女性,0.725
358,明るい,空,0.725
359,明るい,美しさ,0.44375
360,明るい,儚さ,0.10625
361,明るい,踊り,0.3875
362,明るい,スカート,0.21875000000000003
363,明るい,夜,0.10625000000000001
364,明るい,音楽,0.55625
365,明るい,回る,0.21875000000000003
366,明るい,揺れる,0.10625000000000001
367,明るい,舞台,0.5
368,嬉しい,笑顔,0.89375
369,嬉しい,花,0.44375
370,嬉しい,粉雪,0.05
371,嬉しい,羽毛,0.1625
372,嬉しい,蝶,0.3875
373,嬉しい,踊り子,0.21875000000000003
374,嬉しい,笑う,0.95
375,嬉しい,明るい,0.78125
376,嬉しい,美しい,0.44375
377,嬉しい,可愛い,0.44375
378,嬉しい,表情,0.8374999999999999
379,嬉しい,癒し,0.5
380,嬉しい,子供,0.6125
381,嬉しい,咲く,0.5
382,嬉しい,きれい,0.33125000000000004
383,嬉しい,鮮やか,0.33125000000000004
384,嬉しい,枯れる,0.05
385,嬉しい,植物,0.21875000000000003
386,嬉しい,成長,0.3875
387,嬉しい,水,0.10625
388,嬉しい,やわらかい,0.44375
389,嬉しい,冷たい,0.10625
390,嬉しい,降る,0.05
391,嬉しい,融ける,0.275
392,嬉しい,白い,0.33125000000000004
393,嬉しい,寒い,0.05
394,嬉しい,灰色,0.05
395,嬉しい,あたたかい,0.66875
396,嬉しい,鳥,0.16250000000000003
397,嬉しい,布団,0.16250000000000003
398,嬉しい,ふわふわ,0.33125000000000004
399,嬉しい,羽,0.10625000000000001
400,嬉しい,軽い,0.33125000000000004
401,嬉しい,舞う,0.5
402,嬉しい,飛ぶ,0.5
403,嬉しい,女性,0.44375
404,嬉しい,空,0.33125000000000004
405,嬉しい,美しさ,0.44375
406,嬉しい,儚さ,0.1625
407,嬉しい,踊り,0.6125
408,嬉しい,スカート,0.21875000000000003
409,嬉しい,夜,0.21875
410,嬉しい,音楽,0.44375
411,嬉しい,回る,0.55625
412,嬉しい,揺れる,0.44375
413,嬉しい,舞台,0.275
414,美しい,笑顔,0.725
415,美しい,花,0.8374999999999999
416,美しい,粉雪,0.44375000000000003
417,美しい,羽毛,0.21875000000000003
418,美しい,蝶,0.6125
419,美しい,踊り子,0.66875
420,美しい,笑う,0.6125
421,美しい,明るい,0.5
422,美しい,嬉しい,0.44375
423,美しい,可愛い,0.6687500000000001
424,美しい,表情,0.6125
425,美しい,癒し,0.5
426,美しい,子供,0.3875
427,美しい,咲く,0.66875
428,美しい,きれい,0.8374999999999999
429,美しい,鮮やか,0.6125
430,美しい,枯れる,0.16250000000000003
431,美しい,植物,0.44375
432,美しい,成長,0.275
433,美しい,水,0.38749999999999996
434,美しい,やわらかい,0.21875000000000003
435,美しい,冷たい,0.3875
436,美しい,降る,0.05
437,美しい,融ける,0.05
438,美しい,白い,0.6125
439,美しい,寒い,0.21875000000000003
440,美しい,灰色,0.05
441,美しい,あたたかい,0.3875
442,美しい,鳥,0.44375
443,美しい,布団,0.05
444,美しい,ふわふわ,0.16250000000000003
445,美しい,羽,0.55625
446,美しい,軽い,0.10625
447,美しい,舞う,0.5
448,美しい,飛ぶ,0.16250000000000003
449,美しい,女性,0.725
450,美しい,空,0.6124999999999999
451,美しい,美しさ,0.95
452,美しい,儚さ,0.725
453,美しい,踊り,0.5
454,美しい,スカート,0.16250000000000003
455,美しい,夜,0.44375
456,美しい,音楽,0.66875
457,美しい,回る,0.05
458,美しい,揺れる,0.21875
459,美しい,舞台,0.33125000000000004
460,可愛い,笑顔,0.78125
461,可愛い,花,0.78125
462,可愛い,粉雪,0.10625000000000001
463,可愛い,羽毛,0.33125000000000004
464,可愛い,蝶,0.5
465,可愛い,踊り子,0.5
466,可愛い,笑う,0.78125
467,可愛い,明るい,0.725
468,可愛い,嬉しい,0.44375
469,可愛い,美しい,0.6125
470,可愛い,表情,0.66875
471,可愛い,癒し,0.8375
472,可愛い,子供,0.8374999999999999
473,可愛い,咲く,0.55625
474,可愛い,きれい,0.6125
475,可愛い,鮮やか,0.44375
476,可愛い,枯れる,0.05
477,可愛い,植物,0.275
478,可愛い,成長,0.44375
479,可愛い,水,0.05
480,可愛い,やわらかい,0.6687500000000001
481,可愛い,冷たい,0.10625
482,可愛い,降る,0.05
483,可愛い,融ける,0.05
484,可愛い,白い,0.275
485,可愛い,寒い,0.05
486,可愛い,灰色,0.05
487,可愛い,あたたかい,0.55625
488,可愛い,鳥,0.5
489,可愛い,布団,0.05
490,可愛い,ふわふわ,0.55625
491,可愛い,羽,0.21875000000000003
492,可愛い,軽い,0.44375
493,可愛い,舞う,0.21875000000000003
494,可愛い,飛ぶ,0.21875
495,可愛い,女性,0.725
496,可愛い,空,0.05
497,可愛い,美しさ,0.6125
498,可愛い,儚さ,0.44375
499,可愛い,踊り,0.55625
500,可愛い,スカート,0.6124999999999999
501,可愛い,夜,0.05
502,可愛い,音楽,0.33125000000000004
503,可愛い,回る,0.1625
504,可愛い,揺れる,0.10625000000000001
505,可愛い,舞台,0.21875000000000003
506,表情,笑顔,0.89375
507,表情,花,0.55625
508,表情,粉雪,0.10625
509,表情,羽毛,0.10625
510,表情,蝶,0.21875000000000003
511,表情,踊り子,0.16250000000000003
512,表情,笑う,0.8374999999999999
513,表情,明るい,0.78125
514,表情,嬉しい,0.6125
515,表情,美しい,0.66875
516,表情,可愛い,0.66875
517,表情,癒し,0.6125
518,表情,子供,0.5
519,表情,咲く,0.275
520,表情,きれい,0.55625
521,表情,鮮やか,0.33125
522,表情,枯れる,0.16250000000000003
523,表情,植物,0.10625
524,表情,成長,0.21875000000000003
525,表情,水,0.05
526,表情,やわらかい,0.5562499999999999
527,表情,冷たい,0.6125
528,表情,降る,0.05
529,表情,融ける,0.21875
530,表情,白い,0.05
531,表情,寒い,0.21875000000000003
532,表情,灰色,0.1625
533,表情,あたたかい,0.6125
534,表情,鳥,0.16250000000000003
535,表情,布団,0.05
536,表情,ふわふわ,0.21875000000000003
537,表情,羽,0.10625
538,表情,軽い,0.10625
539,表情,舞う,0.10625
540,表情,飛ぶ,0.05
541,表情,女性,0.55625
542,表情,空,0.10625
543,表情,美しさ,0.5
544,表情,儚さ,0.38749999999999996
545,表情,踊り,0.3875
546,表情,スカート,0.05
547,表情,夜,0.10625
548,表情,音楽,0.21875000000000003
549,表情,回る,0.05
550,表情,揺れる,0.21875000000000003
551,表情,舞台,0.21875000000000003
552,癒し,笑顔,0.6124999999999999
553,癒し,花,0.66875
554,癒し,粉雪,0.1625
555,癒し,羽毛,0.44375000000000003
556,癒し,蝶,0.44375
557,癒し,踊り子,0.33125000000000004
558,癒し,笑う,0.6125
559,癒し,明るい,0.55625
560,癒し,嬉しい,0.5
561,癒し,美しい,0.33125000000000004
562,癒し,可愛い,0.725
563,癒し,表情,0.44375
564,癒し,子供,0.78125
565,癒し,咲く,0.21875000000000003
566,癒し,きれい,0.44375
567,癒し,鮮やか,0.21875
568,癒し,枯れる,0.05
569,癒し,植物,0.5
570,癒し,成長,0.16250000000000003
571,癒し,水,0.6125
572,癒し,やわらかい,0.78125
573,癒し,冷たい,0.05
574,癒し,降る,0.05
575,癒し,融ける,0.33125
576,癒し,白い,0.3875
577,癒し,寒い,0.05
578,癒し,灰色,0.05
579,癒し,あたたかい,0.725
580,癒し,鳥,0.33125000000000004
581,癒し,布団,0.7250000000000001
582,癒し,ふわふわ,0.78125
583,癒し,羽,0.275
584,癒し,軽い,0.275
585,癒し,舞う,0.275
586,癒し,飛ぶ,0.05
587,癒し,女性,0.55625
588,癒し,空,0.21875000000000003
589,癒し,美しさ,0.33125000000000004
590,癒し,儚さ,0.1625
591,癒し,踊り,0.3875
592,癒し,スカート,0.275
593,癒し,夜,0.33125000000000004
594,癒し,音楽,0.6125
595,癒し,回る,0.10625
596,癒し,揺れる,0.16250000000000003
597,癒し,舞台,0.21875000000000003
598,子供,笑顔,0.89375
599,子供,花,0.55625
600,子供,粉雪,0.33125000000000004
601,子供,羽毛,0.21875000000000003
602,子供,蝶,0.3875
603,子供,踊り子,0.21875000000000003
604,子供,笑う,0.95
605,子供,明るい,0.89375
606,子供,嬉しい,0.6125
607,子供,美しい,0.33125000000000004
608,子供,可愛い,0.8374999999999999
609,子供,表情,0.78125
610,子供,癒し,0.725
611,子供,咲く,0.5
612,子供,きれい,0.275
613,子供,鮮やか,0.21875
614,子供,枯れる,0.05
615,子供,植物,0.10625
616,子供,成長,0.89375
617,子供,水,0.10625
618,子供,やわらかい,0.78125
619,子供,冷たい,0.16250000000000003
620,子供,降る,0.05
621,子供,融ける,0.21875
622,子供,白い,0.33125000000000004
623,子供,寒い,0.3875
624,子供,灰色,0.05
625,子供,あたたかい,0.78125
626,子供,鳥,0.275
627,子供,布団,0.33125000000000004
628,子供,ふわふわ,0.5
629,子供,羽,0.3875
630,子供,軽い,0.725
631,子供,舞う,0.10625
632,子供,飛ぶ,0.275
633,子供,女性,0.55625
634,子供,空,0.3875
635,子供,美しさ,0.44375
636,子供,儚さ,0.21875
637,子供,踊り,0.5
638,子供,スカート,0.33125
639,子供,夜,0.21875000000000003
640,子供,音楽,0.44375
641,子供,回る,0.5
642,子供,揺れる,0.21875
643,子供,舞台,0.38749999999999996
644,咲く,笑顔,0.5
645,咲く,花,0.89375
646,咲く,粉雪,0.05
647,咲く,羽毛,0.16250000000000003
648,咲く,蝶,0.3875
649,咲く,踊り子,0.33125000000000004
650,咲く,笑う,0.6125
651,咲く,明るい,0.7249999999999999
652,咲く,嬉しい,0.66875
653,咲く,美しい,0.78125
654,咲く,可愛い,0.6125
655,咲く,表情,0.3875
656,咲く,癒し,0.3875
657,咲く,子供,0.3875
658,咲く,きれい,0.78125
659,咲く,鮮やか,0.78125
660,咲く,枯れる,0.8375
661,咲く,植物,0.89375
662,咲く,成長,0.78125
663,咲く,水,0.21875
664,咲く,やわらかい,0.3875
665,咲く,冷たい,0.05
666,咲く,降る,0.10625
667,咲く,融ける,0.10625000000000001
668,咲く,白い,0.33125000000000004
669,咲く,寒い,0.10625000000000001
670,咲く,灰色,0.05
671,咲く,あたたかい,0.6125
672,咲く,鳥,0.275
673,咲く,布団,0.05
674,咲く,ふわふわ,0.33125000000000004
675,咲く,羽,0.16250000000000003
676,咲く,軽い,0.275
677,咲く,舞う,0.275
678,咲く,飛ぶ,0.1625
679,咲く,女性,0.44375
680,咲く,空,0.1625
681,咲く,美しさ,0.78125
682,咲く,儚さ,0.5
683,咲く,踊り,0.16250000000000003
684,咲く,スカート,0.21875000000000003
685,咲く,夜,0.1625
686,咲く,音楽,0.3875
687,咲く,回る,0.21875
688,咲く,揺れる,0.21875
689,咲く,舞台,0.33125000000000004
690,きれい,笑顔,0.55625
691,きれい,花,0.78125
692,きれい,粉雪,0.44375
693,きれい,羽毛,0.21875
694,きれい,蝶,0.725
695,きれい,踊り子,0.44375000000000003
696,きれい,笑う,0.5
697,きれい,明るい,0.6687500000000001
698,きれい,嬉しい,0.5
699,きれい,美しい,0.89375
700,きれい,可愛い,0.5
701,きれい,表情,0.5
702,きれい,癒し,0.5
703,きれい,子供,0.33125000000000004
704,きれい,咲く,0.49999999999999994
705,きれい,鮮やか,0.725
706,きれい,枯れる,0.3875
707,きれい,植物,0.55625
708,きれい,成長,0.3875
709,きれい,水,0.6125
710,きれい,やわらかい,0.3875
711,きれい,冷たい,0.275
712,きれい,降る,0.16250000000000003
713,きれい,融ける,0.10625
714,きれい,白い,0.78125
715,きれい,寒い,0.21875
716,きれい,灰色,0.05
717,きれい,あたたかい,0.275
718,きれい,鳥,0.33125
719,きれい,布団,0.16250000000000003
720,きれい,ふわふわ,0.16250000000000003
721,きれい,羽,0.44375
722,きれい,軽い,0.21875
723,きれい,舞う,0.44375
724,きれい,飛ぶ,0.21875000000000003
725,きれい,女性,0.78125
726,きれい,空,0.38749999999999996
727,きれい,美しさ,0.8374999999999999
728,きれい,儚さ,0.5
729,きれい,踊り,0.44375
730,きれい,スカート,0.275
731,きれい,夜,0.3875
732,きれい,音楽,0.44375
733,きれい,回る,0.33125000000000004
734,きれい,揺れる,0.275
735,きれい,舞台,0.33125000000000004
736,鮮やか,笑顔,0.6125
737,鮮やか,花,0.725
738,鮮やか,粉雪,0.10625
739,鮮やか,羽毛,0.10625000000000001
740,鮮やか,蝶,0.55625
741,鮮やか,踊り子,0.33125000000000004
742,鮮やか,笑う,0.33125000000000004
743,鮮やか,明るい,0.78125
744,鮮やか,嬉しい,0.33125000000000004
745,鮮やか,美しい,0.66875
746,鮮やか,可愛い,0.275
747,鮮やか,表情,0.44375000000000003
